strategy,display_name,regime,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_gross_exposure,regime_set
sector_baseline,Sector Residual Baseline,2020_crash_rebound,-0.10678154989845123,-0.18756097075705302,0.11354577611319344,-1.7718804325520587,-0.12119138530693108,-1.5476427658783944,1.3335435790927808,0.16802649096569036,0.9946587676071204,event_window
sector_baseline,Sector Residual Baseline,2022_drawdown_regime,-0.30835469215553035,-0.30936987144338,0.08440997385750165,-4.339519392370608,-0.3146453101631792,-0.9832336966438073,1.2792392385744595,0.16118414406038192,0.9958277248334464,event_window
sector_baseline,Sector Residual Baseline,2023_2025_recovery,-0.35475339789194515,-0.16216506253016094,0.06327005810143922,-2.7638988937666604,-0.36015170781869654,-0.450268758996962,1.2929344673274805,0.16290974288326254,0.9945925167202628,event_window
sector_baseline,Sector Residual Baseline,all_other_periods,-0.19954754085761284,-0.10169539311688591,0.05781357328836094,-1.8257809516573273,-0.2073796201227256,-0.4903827726982208,1.14952615247405,0.14484029521173034,0.8779425798853348,event_window
sector_baseline,Sector Residual Baseline,bear_high_vol,-0.4218901740982084,-0.3275458657984981,0.09587113252211421,-4.0876797631439405,-0.4251109486231507,-0.7704950127945508,1.2361122037372758,0.15575013767089677,0.9663444368380917,structural
sector_baseline,Sector Residual Baseline,bear_low_vol,-0.003916112471676447,-0.009647259122378404,0.035999899121039014,-0.25142453622317623,-0.0251768556140457,-0.3831796658910963,0.6479943885599522,0.08164729295855398,0.48712169380237313,structural
sector_baseline,Sector Residual Baseline,bull_high_vol,-0.23815347361574712,-0.15395838298249676,0.06640084530701158,-2.483819007844623,-0.23777237489142966,-0.647503239401955,1.2880454499281913,0.16229372669095213,0.9950781252450667,structural
sector_baseline,Sector Residual Baseline,bull_low_vol,-0.27267480544749334,-0.11207008239352134,0.06224375179597454,-1.8781086356876322,-0.27719488631378963,-0.40430068492192883,1.3146914008443418,0.16565111650638709,0.9956361506235103,structural
raw_pca_residual,Raw PCA Residual,2020_crash_rebound,-0.05207438338137382,-0.09368701894794629,0.09430777322227414,-0.9960592605368541,-0.07821014362767009,-1.1978883377833436,1.4519096275036272,0.18294061306545703,0.982025764653347,event_window
raw_pca_residual,Raw PCA Residual,2022_drawdown_regime,-0.14059169751358924,-0.1411103056655787,0.07183398870564732,-2.081283057349482,-0.15679764346735348,-0.8999516991781766,1.4545404320331194,0.1832720944361731,0.9905976485237423,event_window
raw_pca_residual,Raw PCA Residual,2023_2025_recovery,-0.42147111330846154,-0.19829261334260528,0.06238611501681368,-3.5098989177784397,-0.42617610326832056,-0.4652832756738597,1.4439496833524381,0.18193766010240717,0.984371477921976,event_window
raw_pca_residual,Raw PCA Residual,all_other_periods,-0.33157746555354095,-0.17642455462909823,0.05443656991079944,-3.537067816723002,-0.33563048280255336,-0.525651165996404,1.2678489450991832,0.1597489670824971,0.8682354273036391,event_window
raw_pca_residual,Raw PCA Residual,bear_high_vol,-0.26893951100314617,-0.20295391437440113,0.08097490538849135,-2.7598107923148523,-0.29188373628152087,-0.695324504749565,1.3952758706524715,0.17580475970221138,0.9571616776769145,structural
raw_pca_residual,Raw PCA Residual,bear_low_vol,-0.07067178459373613,-0.16562936746439305,0.04679393534198671,-3.844984621631983,-0.0788406896374304,-2.100810739049635,0.6951319708467057,0.08758662832668496,0.48264730647397075,structural
raw_pca_residual,Raw PCA Residual,bull_high_vol,-0.2258255494488708,-0.14556987517254594,0.05878689450345261,-2.6459256536629634,-0.2315168275972158,-0.6287658512054376,1.4561929423010007,0.18348031072992607,0.9868170031861513,structural
raw_pca_residual,Raw PCA Residual,bull_low_vol,-0.401052624760005,-0.17416788323803645,0.061708484616358285,-3.069109915577132,-0.4015437480493156,-0.43374572281136853,1.4438700707411407,0.18192762891338374,0.984585496062001,structural
rmt_filtered_residual,RMT-Filtered Residual,2020_crash_rebound,-0.1248606278258938,-0.21755122695224283,0.13941490953527966,-1.6894968502162646,-0.1331774875616375,-1.6335435585654468,1.4235664385248998,0.17936937125413738,0.9806849204608691,event_window
rmt_filtered_residual,RMT-Filtered Residual,2022_drawdown_regime,-0.37099185729944717,-0.3721525983089641,0.09850321608658512,-4.671328196703137,-0.376118896956784,-0.989454667978898,1.3996436634004439,0.1763551015884559,0.9834956227999683,event_window
rmt_filtered_residual,RMT-Filtered Residual,2023_2025_recovery,-0.4117023214048897,-0.19285290320253234,0.06653711786693763,-3.185349592705976,-0.41498395369839214,-0.46472375975938746,1.413769425884606,0.17813494766146037,0.9817432657320112,event_window
rmt_filtered_residual,RMT-Filtered Residual,all_other_periods,-0.2409050663404826,-0.12436643561901661,0.062403138976941844,-2.09652875053449,-0.24423808389583312,-0.5092016512545954,1.2668291652991157,0.1596204748276885,0.8652213330277133,event_window
rmt_filtered_residual,RMT-Filtered Residual,bear_high_vol,-0.43295912327674124,-0.33689421350318194,0.11332321333526955,-3.5653866988965364,-0.43295912327674124,-0.7781201397339398,1.3567714474123402,0.1709532023739549,0.9541864947403086,structural
rmt_filtered_residual,RMT-Filtered Residual,bear_low_vol,-0.07277115002550683,-0.17027833564349493,0.0444669283596876,-4.174198925911719,-0.07277115002550683,-2.339915414059158,0.6877901651595568,0.08666156081010416,0.4816412235970697,structural
rmt_filtered_residual,RMT-Filtered Residual,bull_high_vol,-0.24815841871965805,-0.16080474536742273,0.07749082691742573,-2.222845810736411,-0.24870429770469904,-0.6465700305603704,1.4257958612437456,0.17965027851671198,0.9821946428792767,structural
rmt_filtered_residual,RMT-Filtered Residual,bull_low_vol,-0.37813076244215627,-0.1625073822463895,0.06406095138353662,-2.7353609111260027,-0.3807655857777824,-0.4267911500311638,1.428437886132073,0.17998317365264122,0.981401010161731,structural
final_research_portfolio,Final Research Portfolio,2020_crash_rebound,-0.03320557593977824,-0.0602261071792336,0.07887892167622064,-0.7482173026557408,-0.08560879857415349,-0.7035037073562754,1.007272611886378,0.12691634909768362,0.998513534365122,event_window
final_research_portfolio,Final Research Portfolio,2022_drawdown_regime,-0.08255904119741486,-0.08287394005934057,0.06797930065982337,-1.2387117637710545,-0.0986599285788321,-0.8399959462075013,1.0064929526057669,0.12681811202832663,0.9989308994093313,event_window
final_research_portfolio,Final Research Portfolio,2023_2025_recovery,-0.32114226530025114,-0.1448062790614557,0.05254515954041241,-2.949815234165641,-0.3337205552148361,-0.4339147732995804,1.0072544019195426,0.1269140546418624,0.9971829874212005,event_window
final_research_portfolio,Final Research Portfolio,all_other_periods,-0.2853306406450601,-0.1494444578794204,0.04527093229951424,-3.5517350759761226,-0.28931749880014335,-0.5165413723649486,0.8802382628065739,0.1109100211136283,0.880377332886293,event_window
final_research_portfolio,Final Research Portfolio,bear_high_vol,-0.20428515998919416,-0.15250974960419517,0.07399397218552575,-2.1988246153315414,-0.22684620209775352,-0.6723046195786652,0.9707156506150441,0.12231017197749557,0.9700129999818263,structural
final_research_portfolio,Final Research Portfolio,bear_low_vol,-0.052148914908772936,-0.12393890665783724,0.03610809170472854,-3.645651103235719,-0.059867656062685515,-2.0702147838903993,0.4805833522509893,0.06055350238362466,0.4890081382482445,structural
final_research_portfolio,Final Research Portfolio,bull_high_vol,-0.1602405203999403,-0.101779379496996,0.050017916678927354,-2.1205915837592055,-0.172328423396223,-0.5906128396647696,1.008926217491608,0.1271247034039426,0.9990683943891759,structural
final_research_portfolio,Final Research Portfolio,bull_low_vol,-0.32057157714674833,-0.1343673036225893,0.05084002112741257,-2.8120051438772617,-0.31884711198155646,-0.4214160912028637,1.0059690957969165,0.12675210607041149,0.997253545800838,structural
